week,alpha,EXCELLENT,GOOD,NORMAL,DISAPPOINTED,Excellent_lead_1wk,Good_lead_1wk,Normal_lead_1wk,Disappoint_lead_1wk,Excellent_lead_2wk,Good_lead_2wk,Normal_lead_2wk,Disappoint_lead_2wk,Alpha_class
90,-4.96,1,0,0,0,0,0,0,0,0,0,0,0,2
91,-0.8500000000000001,0,0,0,0,1,0,0,0,0,0,0,0,3
92,3.0500000000000003,0,0,0,0,0,0,0,0,1,0,0,0,5
93,2.35,0,0,0,0,0,0,0,0,0,0,0,0,4
94,-25.1,0,0,0,0,0,0,0,0,0,0,0,0,1
95,1.6499999999999995,0,0,0,0,0,0,0,0,0,0,0,0,4
96,-0.8300000000000003,0,0,0,0,0,0,0,0,0,0,0,0,3
97,-2.3400000000000003,0,0,0,0,0,0,0,0,0,0,0,0,3
98,-1.01,0,0,0,0,0,0,0,0,0,0,0,0,3
99,-7.75,0,0,0,0,0,0,0,0,0,0,0,0,1
100,-5.95,0,0,0,0,0,0,0,0,0,0,0,0,1
101,1.83,1,0,1,0,0,0,0,0,0,0,0,0,4
102,-2.2199999999999998,0,0,0,0,1,0,1,0,0,0,0,0,3
103,-0.24,1,0,0,0,0,0,0,0,1,0,1,0,3
104,-0.7200000000000001,0,0,0,0,1,0,0,0,0,0,0,0,3
105,4.55,0,0,0,0,0,0,0,0,1,0,0,0,5
106,-5.569999999999999,1,0,0,0,0,0,0,0,0,0,0,0,1
107,4.09,0,0,0,0,1,0,0,0,0,0,0,0,5
108,19.69,0,0,0,0,0,0,0,0,1,0,0,0,6
109,4.08,0,0,0,0,0,0,0,0,0,0,0,0,5
110,-1.3199999999999998,1,0,0,0,0,0,0,0,0,0,0,0,3
111,1.1599999999999997,0,0,0,1,1,0,0,0,0,0,0,0,4
112,1.2299999999999998,0,0,0,0,0,0,0,1,1,0,0,0,4
113,-0.59,1,0,0,0,0,0,0,0,0,0,0,1,3
114,-3.68,0,0,0,0,1,0,0,0,0,0,0,0,2
115,-1.5899999999999999,1,0,0,0,0,0,0,0,1,0,0,0,3
116,-5.5600000000000005,0,0,0,0,1,0,0,0,0,0,0,0,1
117,-0.35999999999999943,0,0,0,0,0,0,0,0,1,0,0,0,3
118,0.23,0,0,0,0,0,0,0,0,0,0,0,0,4
119,6.51,0,0,0,0,0,0,0,0,0,0,0,0,6
120,22.07,1,0,0,0,0,0,0,0,0,0,0,0,6
121,-6.450000000000001,0,0,0,0,1,0,0,0,0,0,0,0,1
122,1.05,1,0,0,0,0,0,0,0,1,0,0,0,4
123,3.56,0,0,0,0,1,0,0,0,0,0,0,0,5
124,5.5,0,1,0,0,0,0,0,0,1,0,0,0,6
125,0.6899999999999998,0,0,1,0,0,1,0,0,0,0,0,0,4
126,0.75,1,0,0,0,0,0,1,0,0,1,0,0,4
127,2.15,0,0,0,0,1,0,0,0,0,0,1,0,4
128,4.69,0,0,0,0,0,0,0,0,1,0,0,0,5
129,-1.88,1,0,0,0,0,0,0,0,0,0,0,0,3
130,-0.24,0,0,0,0,1,0,0,0,0,0,0,0,3
131,2.12,0,0,0,0,0,0,0,0,1,0,0,0,4
132,3.5799999999999996,0,1,0,0,0,0,0,0,0,0,0,0,5
133,10.079999999999998,0,0,0,0,0,1,0,0,0,0,0,0,6
