Date,Open,High,Low,Close,Adj Close,Volume
2012-12-31,12.768571,13.988571,12.715714,13.711429,13.711429,83183800
2013-01-07,13.770000,14.560000,13.507143,14.470000,14.470000,146457500
2013-01-14,14.427143,14.928571,13.678571,14.167143,14.167143,120776600
2013-01-21,14.235714,24.668571,13.798571,24.222857,24.222857,407259300
2013-01-28,24.644285,25.321428,22.375713,23.542856,23.542856,302668800
2013-02-04,23.254286,26.982857,23.254286,25.852858,25.852858,253960700
2013-02-11,25.568571,27.142857,24.971430,27.072857,27.072857,163285500
2013-02-18,27.285713,28.231428,25.490000,25.694286,25.694286,145000100
2013-02-25,25.855715,27.447144,25.064285,27.052856,27.052856,164418800
2013-03-04,26.954287,27.154285,25.165714,26.385714,26.385714,149795100
2013-03-11,26.285713,27.884287,25.572857,26.407143,26.407143,145184200
2013-03-18,25.911428,26.771429,25.607143,25.900000,25.900000,82072200
2013-03-25,26.061428,28.151428,25.681429,27.040001,27.040001,121905700
2013-04-01,27.278570,27.357143,23.218571,23.522858,23.522858,197558900
2013-04-08,23.690001,25.377144,22.714287,24.742857,24.742857,166354300
2013-04-15,25.080000,26.049999,23.114286,23.338572,23.338572,147070700
2013-04-22,23.674286,32.042858,23.674286,30.792856,30.792856,297693900
2013-04-29,30.944286,31.392857,30.027143,30.492857,30.492857,97978300
2013-05-06,29.947144,31.392857,29.145714,31.098572,31.098572,121387000
2013-05-13,31.024286,35.549999,31.020000,34.142857,34.142857,164117100
2013-05-20,34.062859,34.521427,31.650000,32.677143,32.677143,76032600
2013-05-27,33.107143,33.708572,29.987143,32.321430,32.321430,123131400
2013-06-03,32.435715,32.571430,30.571428,31.459999,31.459999,118742400
2013-06-10,31.861429,31.904285,29.392857,30.570000,30.570000,78141700
2013-06-17,32.220001,33.697144,30.600000,30.985714,30.985714,120195600
2013-06-24,30.428572,31.297144,29.651428,30.155714,30.155714,95557000
2013-07-01,30.517143,32.495712,30.285713,32.157143,32.157143,60830700
2013-07-08,32.425713,36.775715,32.215714,36.751431,36.751431,137762100
2013-07-15,37.057144,38.615715,36.018570,37.797142,37.797142,112087500
2013-07-22,38.121429,38.392857,34.272858,35.187141,35.187141,195013700
2013-07-29,35.151428,35.810001,34.544285,35.168571,35.168571,65245600
2013-08-05,34.844288,36.799999,34.482857,36.107143,36.107143,86827300
2013-08-12,35.897144,37.684284,35.774284,36.981430,36.981430,95128600
2013-08-19,36.857143,39.770000,36.821430,39.765713,39.765713,99143100
2013-08-26,39.444286,41.461430,39.148571,40.558571,40.558571,107720900
2013-09-02,41.061428,42.704285,40.650002,41.648571,41.648571,76442100
2013-09-09,41.821430,44.882858,41.468571,43.664288,43.664288,117440400
2013-09-16,44.285713,45.127144,42.528572,44.832855,44.832855,94236800
2013-09-23,45.770000,45.770000,42.788570,44.628571,44.628571,86209900
2013-09-30,43.959999,47.785713,43.599998,46.751431,46.751431,114233000
2013-10-07,46.291428,46.709999,40.400002,42.978573,42.978573,135157400
2013-10-14,44.372856,48.068569,43.714287,47.642857,47.642857,136078600
2013-10-21,48.988571,55.594288,45.285713,46.861427,46.861427,362188400
2013-10-28,46.430000,47.642857,44.171429,47.038570,47.038570,127348200
2013-11-04,47.278572,49.195713,46.450001,47.842857,47.842857,99397900
2013-11-11,47.535713,49.984287,46.945713,49.965714,49.965714,81272100
2013-11-18,50.000000,50.085712,47.748569,49.692856,49.692856,86978500
2013-11-25,49.557144,52.542858,49.287144,52.257141,52.257141,53888800
2013-12-02,52.125713,52.664288,50.285713,50.634285,50.634285,70340900
2013-12-09,50.738571,53.857143,50.474285,52.709999,52.709999,85048600
2013-12-16,52.854286,54.265713,52.035713,53.667145,53.667145,84907900
2013-12-23,54.098572,54.851429,52.258572,52.500000,52.500000,47419400
2013-12-30,52.517143,52.791428,51.291428,51.871429,51.871429,48734700
2014-01-06,51.889999,52.044285,47.218571,47.448570,47.448570,104915300
2014-01-13,47.304287,49.810001,45.581429,47.148571,47.148571,124961900
2014-01-20,47.461430,56.518570,45.750000,55.154285,55.154285,200309200
2014-01-27,55.341431,58.914288,52.937141,58.475716,58.475716,147089600
2014-02-03,58.842857,61.500000,56.715714,61.425713,61.425713,100747500
2014-02-10,61.347141,62.784286,60.611427,62.215714,62.215714,73838800
